machine_id,gpu,date,batch_size_in_bits,keys_per_work_item,candidates_per_second,addresses_checked_per_second,seconds_per_arm,warmup_seconds,verification_micros_measured,winner,kernel
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,23,16,1677367.57,26134.08,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,23,64,5450210.92,85065.29,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,23,256,15088007.45,235287.07,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,23,512,20119526.08,313966.76,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,23,1024,25155871.71,392397.06,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,23,2048,36481091.96,565148.11,20,5,10.11,yes,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,24,16,1676721.75,26174.09,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,24,64,5871719.83,91518.23,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,24,256,15926850.76,248215.71,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,24,512,20132087.45,314144.88,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,24,1024,25163894.56,392562.20,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,24,2048,26843233.01,418642.22,20,5,10.11,,inline
